Job Area,Posted Jobs,Booked Jobs,Booking Rate
Finance,     24,     14,   58.33 %
Agreements,     70,     40,   57.14 %
Arbitration,     16,      9,   56.25 %
Startups,    107,     59,   55.14 %
Patents,     62,     33,   53.23 %
Ch11,      2,      1,   50.00 %
Other,      2,      1,   50.00 %
HR,     30,     13,   43.33 %
DHS,     51,     21,   41.18 %
TC,     59,     22,   37.29 %
DevOps,     76,     28,   36.84 %
Buildings,     20,      7,   35.00 %
M&A,      6,      2,   33.33 %
NFP,     12,      2,   16.67 %
Tax,     14,      1,    7.14 %
R&D,      4,       ,          
,      5,       ,          
                   Total,    560,    253,   45.18 %
