User Category,Posted Jobs,Booked Jobs,Booking Rate
Channel3,      4,      4,  100.00 %
Channel7,     33,     27,   81.82 %
Channel8,     88,     53,   60.23 %
Channel1,     73,     43,   58.90 %
Channel12,     19,     10,   52.63 %
Channel5,      2,      1,   50.00 %
Channel13,     55,     25,   45.45 %
Channel6,    143,     51,   35.66 %
Channel2,      6,      2,   33.33 %
Channel9,    127,     40,   31.50 %
Channel11,      7,      2,   28.57 %
Channel10,      1,       ,          
Channel4,      2,       ,          
                   Total,    560,    258,   46.07 %
