Job Area,Posted Jobs,Booked Jobs,Booking Rate
Securities & Finance,     24,     14,   58.33 %
Commercial Contracts,     70,     40,   57.14 %
Lawsuits & Disputes,     16,      9,   56.25 %
Business Formation,    107,     59,   55.14 %
Patents,     62,     33,   53.23 %
Debt & Bankruptcy,      2,      1,   50.00 %
Other or I Don't Know,      2,      1,   50.00 %
Labor & Employment,     30,     13,   43.33 %
Immigration,     52,     21,   40.38 %
Trademarks & Copyrights,     59,     22,   37.29 %
Business Operations,     76,     28,   36.84 %
Real Estate,     20,      7,   35.00 %
Mergers & Acquisitions,      6,      2,   33.33 %
Non-Profit,     12,      2,   16.67 %
Tax,     14,      1,    7.14 %
Legal Research & Writing,      4,       ,          
,      5,       ,          
                   Total,    561,    253,   45.10 %
